,House 2 BR,House 3 BR,Unit 1 BR,Unit 2 BR,Unit 3 BR,House 4 BR,House 5 BR,House 1 BR
Modewarre,,,,,,,,
Moriac,,,,,,,,
Mount Moriac,,,,,,,,
Wensleydale,,,,,,,,
Winchelsea,,648000.0,,,,756000.0,,
Winchelsea South,,,,,,,,
Wurdiboluc,,,,,,,,
Birregurra,,785000.0,,,,,,
Warncoort,,,,,,,,
Balintore,,,,,,,,
Barongarook,,,,,,,,
Barongarook West,,,,,,,,
Coragulac,,,,,,,,
Corunnun,,,,,,,,
Dreeite South,,,,,,,,
Irrewarra,,,,,,,,
Pirron Yallock,,,,,,,,
Pomborneit East,,,,,,,,
Swan Marsh,,,,,,,,
Warrion,,,,,,,,
Yeodene,,,,,,,,
Colac,389000.0,445000.0,,375000.0,,613000.0,,
Colac East,,,,,,,,
Elliminyt,,500000.0,,,,750000.0,,
Beeac,,,,,,,,
Camperdown,351000.0,425000.0,,,,,,
Carpendeit,,,,,,,,
Pomborneit North,,,,,,,,
Terang,,374000.0,,,,555000.0,,
Glenormiston South,,,,,,,,
Noorat,,,,,,,,
Panmure,,,,,,,,
Cobden,,411000.0,,,,,,
Simpson,,,,,,,,
Scotts Creek,,,,,,,,
Nullawarre,,,,,,,,
Timboon,,428000.0,,,,,,
Port Campbell,,,,,,,,
Princetown,,,,,,,,
Peterborough,,,,,,,,
Mortlake,,362000.0,,,,,,
Hexham,,,,,,,,
Caramut,,,,,,,,
Mailors Flat,,,,,,,,
Woolsthorpe,,,,,,,,
Allansford,,,,,,,,
Naringal,,,,,,,,
Purnim,,,,,,,,
Dennington,,593000.0,,,,,,
Warrnambool,472000.0,545000.0,,400000.0,,740000.0,865000.0,
Bushfield,,,,,,,,
Winslow,,,,,,,,
Woodford,,,,,,,,
Koroit,,550000.0,,,,635000.0,,
Crossley,,,,,,,,
Kirkstall,,,,,,,,
Southern Cross,,,,,,,,
Warrong,,,,,,,,
Orford,,,,,,,,
Port Fairy,763000.0,945000.0,,,,1235000.0,,
Narrawong,,,,,,,,
St Helens,,,,,,,,
Yambuk,,,,,,,,
Macarthur,,,,,,,,
Hawkesdale,,,,,,,,
Penshurst,,,,,,,,
Nelson,,,,,,,,
Glenthompson,,,,,,,,
Dunkeld,,,,,,,,
Hamilton,268000.0,357000.0,,,,492000.0,,
Tarrington,,,,,,,,
Dartmoor,,,,,,,,
Heywood,,355000.0,,,,,,
Allestree,,,,,,,,
Bolwarra,,,,,,,,
Cape Bridgewater,,,,,,,,
Gorae,,,,,,,,
Portland,341000.0,395000.0,,305000.0,,515000.0,875000.0,
Portland North,,,,,,,,
Merino,,,,,,,,
Casterton,,290000.0,,,,,,
Chetwynd,,,,,,,,
Sandford,,,,,,,,
Strathdownie,,,,,,,,
Cavendish,,,,,,,,
Coleraine,,243000.0,,,,,,
Gringegalgona,,,,,,,,
Harrow,,,,,,,,
Edenhope,,,,,,,,
Apsley,,,,,,,,
Inverleigh,,,,,,,,
Cressy,,,,,,,,
Lismore,,,,,,,,
Derrinallum,,,,,,,,
Teesdale,,835000.0,,,,1024999.0,,
Rokewood,,,,,,,,
Bannockburn,,697000.0,,,,815000.0,,
Steiglitz,,,,,,,,
Sutherlands Creek,,,,,,,,
Lethbridge,,,,,,,,
Meredith,,,,,,,,
Elaine,,,,,,,,
Rockbank,,540000.0,,,,651000.0,811000.0,
Kurunjang,,490000.0,,,,560000.0,663000.0,
Melton,,459000.0,,362000.0,410000.0,589000.0,,
Melton West,,490000.0,,,,598000.0,650000.0,
Toolern Vale,,,,,,,,
Brookfield,,530000.0,,,,560000.0,670000.0,
Eynesbury,,603000.0,,,,695000.0,,
Melton South,375000.0,457000.0,,345000.0,,592000.0,587000.0,
